composition,year,merit
Pb1Te1,2013,0.4927471706784626
Pb0.98Na0.02Te1,2011,1.3824212271973468
Pb1Te0.75Se0.25,2013,0.6910294709025104
Na0.02Pb0.98Te0.85Se0.15,2013,1.4149413937711282
Sb0.002Pb0.998Te0.88S0.12,2012,0.6415343137254903
Bi0.0044Pb0.9956Te0.88S0.12,2013,0.9039586919104994
Sn0.98Bi0.02Te1,2016,0.7387976019142306
Pb0.9975La0.0025Te1,2014,1.1539828237886596
Pb1S0.9987Cl0.0013,2012,0.5636730819021317
Na0.008Pb0.962Cd0.03Te1,2012,1.2029402144910573
Ba8Ni1.62Zn4.21Ge39.05Sn1.12,2013,0.734576887205177
Pb0.998Yb0.002Te0.994I0.006,2013,0.5266347080159934
Na0.012Pb0.958Cd0.03Te1,2012,1.635957377218502
Bi0.00088Pb0.99912Te0.88S0.12,2013,1.091910499139415
Sb0.008Pb0.992Te0.88S0.12,2012,1.116950980392157
Bi0.0026Pb0.9974Te0.88S0.12,2013,1.047160068846816
Pb0.99Na0.01Te1,2011,1.4195688225538974
Sn1Te1,2016,0.4357788039591374
Pb1Te0.9Se0.1,2013,0.2507683690469351
Pb1Te0.2Se0.8,2013,0.60431654676259
Sb0.004Pb0.996Te0.88S0.12,2012,1.1986176470588237
Pb1Te0.5Se0.5,2013,0.4373671511460906
Na0.005Pb0.995Se1,2011,0.9879089762933264
Na0.015Pb0.955Cd0.03Te1,2012,1.6131930935945331
Sn0.94Bi0.06Te1,2016,1.1024307548319308
Pb1Se1,2013,0.558273381294964
Sn0.92Bi0.08Te1,2016,0.9963710852309352
Pb0.998Yb0.002Te0.993I0.007,2013,0.6725515116450799
Na0.02Pb0.95Cd0.03Te1,2012,1.5311700607667282
Pb0.995Na0.005Te1,2011,0.8597014925373136
Na0.01Pb0.96Cd0.03Te1,2012,1.471856225577112
Sb0.006Pb0.994Te0.88S0.12,2012,1.1986176470588237
Pb0.99825La0.00175Te1,2014,1.0514685314685317
Na0.025Pb0.975Se1,2011,1.0514333546906975
Na0.05Pb0.95Te0.85Se0.15,2013,1.6359838760266254
Pb1S0.9973Cl0.0027,2012,0.6631431776991457
Pb0.985Na0.015Te1,2011,1.4859038142620236
Na0.07Pb0.93Te0.85Se0.15,2013,1.3434290161820572
Pb0.9985La0.0015Te1,2014,0.8813053613053616
Na0.0125Pb0.9875Se1,2011,1.1347374077671912
Na0.0025Pb0.9975Se1,2011,0.2418824793832545
Na0.03Pb0.97Te0.85Se0.15,2013,1.5305321608215323
Sn0.96Bi0.04Te1,2016,0.8751423753057208
Pb1Te0.88S0.12,2012,0.4607009803921571
Pb0.985Ce0.015Te1,2011,0.5163200367078631
Pb1Te0.88S0.12,2013,0.4631669535283998
Na0.0035Pb0.9965Se1,2011,0.8808052415104481
Pb1S0.9978Cl0.0022,2012,0.7038232501941831
Ba8Ni1.72Zn4.06Ge39.50Sn0.72,2013,0.5727046335201871
Ba8Ni1.25Zn4.95Ge38.93Sn0.87,2013,0.5820197494303051
Ba8Ni1.26Zn4.85Ge38.88Sn1.01,2013,0.6102420122496468
Pb0.975Na0.025Zn0.03S1.03,2012,1.1885368040025186
Pb0.952Sn0.048Te0.96S0.04,2007,1.0860243785772017
Pb0.975Na0.025S1,2012,0.9092311653024066
